Store,Category,Item,Sale Price,Original or Current Price,URL
aafes,Apparel >> Jewelry,Sterling Silver 8-9-mm. Drop Freshwater Pearl Pendant Set,$29.95 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-89mm-Drop-Freshwater-Pearl-Pendant-Set/540858
aafes,Apparel >> Jewelry,Sterling Silver Amethyst & White Topaz Earrings & Pendant Set,$49.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Amethyst-White-Topaz-Earrings-Pendant-Set/540437
aafes,Apparel >> Jewelry,Sterling Silver Blue & White Topaz Earrings & Pendant Set,$49.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Blue-White-Topaz-Earrings-Pendant-Set/540434
aafes,Apparel >> Jewelry,Sterling Silver Created Opal & White Topaz Earrings & Pendant Set,$49.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Created-Opal-White-Topaz-Earrings-Pendant-Set/540440
aafes,Apparel >> Jewelry,Sterling Silver Created White Sapphire Cross Pendant,$29.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Created-White-Sapphire-Cross-Pendant/540859
aafes,Apparel >> Jewelry,Sterling Silver Created White Sapphire Heart Pendant,$29.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Created-White-Sapphire-Heart-Pendant/540863
aafes,Apparel >> Jewelry,Sterling Silver Cubic Zirconia Earring & Pendant Set,$14.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Cubic-Zirconia-Earring-Pendant-Set/540852
aafes,Apparel >> Jewelry,Sterling Silver Cubic Zirconia Trio Earring Set,$12.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Cubic-Zirconia-Trio-Earring-Set/540846
aafes,Apparel >> Jewelry,Sterling Silver Cultured Freshwater Pearl Button Stud Earrings (Pink),$9.95 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Cultured-Freshwater-Pearl-Button-Stud-Earrings-Pink/540448
aafes,Apparel >> Jewelry,Sterling Silver Cultured Freshwater Pearl Button Stud Earrings (White),$9.95 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Cultured-Freshwater-Pearl-Button-Stud-Earrings-White/540447
aafes,Apparel >> Jewelry,Sterling Silver Diamond Accent Pendant,$29.00 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Diamond-Accent-Pendant/540703
aafes,Apparel >> Jewelry,Sterling Silver Emerald w/ White Topaz 16-in.Necklace,$19.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Emerald-w-White-Topaz-16inNecklace/540899
aafes,Apparel >> Jewelry,Sterling Silver Emerald w/ White Topaz Earrings,$19.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Emerald-w-White-Topaz-Earrings/540903
aafes,Apparel >> Jewelry,Sterling Silver Genuine Black Sapphire & White Topaz Halo Pendant,$19.99 ,,https://www.bfads.net/Item/AAFES-Black-Friday-Sterling-Silver-Genuine-Black-Sapphire-White-Topaz-Halo-Pendant/540913
